IDCliente,Cancelacion,Genero,MayorDeEdad,Pareja,Dependientes,MesesContratado,ServicioTelefonico,MultiplesLineas,ServicioInternet,SeguridadEnLinea,CopiaSeguridadEnLinea,ProteccionDispositivo,SoporteTecnico,TransmisionTelevision,TransmisionPeliculas,TipoContrato,FacturacionElectronica,MetodosPago,CargoMensual,CargoTotal,CostoDiario
0002-ORFBO,False,Mujer,0,True,True,9,True,False,DSL,False,True,False,True,True,False,Un año,True,Cheque C.,65.6,593.3,2.1866666666666665
0003-MKNFE,False,Hombre,0,False,False,9,True,True,DSL,False,False,False,False,False,True,Mes a mes,False,Cheque C.,59.9,542.4,1.9966666666666666
0004-TLHLJ,True,Hombre,0,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Mes a mes,True,Cheque E.,73.9,280.85,2.4633333333333334
0011-IGKFF,True,Hombre,1,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Mes a mes,True,Cheque E.,98.0,1237.85,3.2666666666666666
0013-EXCHZ,True,Mujer,1,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Mes a mes,True,Cheque C.,83.9,267.4,2.796666666666667
0013-MHZWF,False,Mujer,0,False,True,9,True,False,DSL,False,False,False,True,True,True,Mes a mes,True,Tarjeta C.,69.4,571.45,2.3133333333333335
0013-SMEOE,False,Mujer,1,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Dos años,True,Transferencia,109.7,7904.25,3.6566666666666667
0014-BMAQU,False,Hombre,0,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Dos años,True,Tarjeta C.,84.65,5377.8,2.8216666666666668
0015-UOCOJ,False,Mujer,1,False,False,7,True,False,DSL,True,False,False,False,False,False,Mes a mes,True,Cheque E.,48.2,340.35,1.6066666666666667
0016-QLJIS,False,Mujer,0,True,True,65,True,True,DSL,True,True,True,True,True,True,Dos años,True,Cheque C.,90.45,5957.9,3.015
0017-DINOC,False,Hombre,0,False,False,54,False,False,DSL,True,False,False,True,True,False,Dos años,False,Tarjeta C.,45.2,2460.55,1.5066666666666668
0017-IUDMW,False,Mujer,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Dos años,True,Tarjeta C.,116.8,8456.75,3.893333333333333
0018-NYROU,False,Mujer,0,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Cheque E.,68.95,351.5,2.2983333333333333
0019-EFAEP,False,Mujer,0,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Dos años,True,Transferencia,101.3,7261.25,3.3766666666666665
0019-GFNTW,False,Mujer,0,False,False,56,False,False,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,45.05,2560.1,1.5016666666666665
0020-INWCK,False,Mujer,0,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Dos años,True,Tarjeta C.,95.75,6849.4,3.191666666666667
0020-JDNXP,False,Mujer,0,True,True,34,False,False,DSL,True,False,True,True,True,True,Un año,False,Cheque C.,61.25,1993.2,2.0416666666666665
0021-IKXGC,False,Mujer,1,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Cheque E.,72.1,72.1,2.4033333333333333
0022-TCJCI,True,Hombre,1,False,False,45,True,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta C.,62.7,2791.5,2.0900000000000003
0023-HGHWL,True,Hombre,1,False,False,1,False,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque E.,25.1,25.1,0.8366666666666667
0023-UYUPN,False,Mujer,1,True,False,50,True,True,No,False,False,False,False,False,False,Un año,False,Cheque E.,25.2,1306.3,0.84
0023-XUOPT,True,Mujer,0,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Mes a mes,False,Cheque E.,94.1,1215.6,3.1366666666666663
0027-KWYKW,False,Mujer,0,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Mes a mes,True,Cheque E.,83.75,1849.95,2.7916666666666665
0030-FNXPP,False,Mujer,0,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,19.85,57.2,0.6616666666666667
